STATCD;DISTCD;STATNAME;DISTNAME;DISTRICTS;BLOCKS;VILLAGES;TOTPOPULAT;P_URB_POP;POPULATION_0_6;GROWTHRATE;SEXRATIO;P_SC_POP;P_ST_POP;OVERALL_LI;FEMALE_LIT;MALE_LIT;AREA_SQKM;TOT_6_10_15;TOT_11_13_15;SCH1;SCH2;SCH3;SCH4;SCH5;SCH6;SCH7;SCH9;SCHTOT;SCH1G;SCH2G;SCH3G;SCH4G;SCH5G;SCH6G;SCH7G;SCH9G;SCHTOTG;SCH1P;SCH2P;SCH3P;SCH4P;SCH5P;SCH6P;SCH7P;SCH9P;SCHTOTP;SCH1GR;SCH2GR;SCH3GR;SCH4GR;SCH5GR;SCH6GR;SCH7GR;SCH9GR;SCHTOTGR;SCH1PR;SCH2PR;SCH3PR;SCH4PR;SCH5PR;SCH6PR;SCH7PR;SCH9PR;SELE1;SELE2;SELE3;SELE4;SELE5;SELE6;SELE7;SCOMP1;SCOMP2;SCOMP3;SCOMP4;SCOMP5;SCOMP6;SCOMP7;ENR501;ENR502;ENR503;ENR504;ENR505;ENR506;ENR507;ENR509;CLS1;CLS2;CLS3;CLS4;CLS5;CLS6;CLS7;TCH1;TCH2;TCH3;TCH4;TCH5;TCH6;TCH7
8;802;RAJASTHAN;HANUMANGARH;1;7;994;1779650;19.71;232956.19;17.24;906;27.85;0.81;68.37;56.91;78.82;9656;168621;109118;383;889;462;1;21;389;10;0;2155;351;475;172;1;13;142;5;0;1159;19;412;290;0;8;246;4;0;979;326;438;157;1;13;141;5;0;1081;13;303;188;0;3;171;1;0;120;824;449;1;21;365;10;27;349;354;1;19;229;8;294;116;9;0;14;16;3;5;1221;5868;3801;3;86;3025;51;879;5271;6193;6;243;3561;74
8;803;RAJASTHAN;BIKANER;1;7;866;2367745;33.95;394466.32;41.42;903;20.88;0.33;65.92;53.77;76.9;30239;301459;176306;1502;1124;361;8;34;340;17;0;3386;1226;507;226;6;18;116;8;0;2107;222;609;135;2;16;223;9;0;1216;1198;448;194;6;12;100;4;0;1962;161;351;72;0;3;95;0;0;297;833;345;7;34;316;17;111;438;281;5;28;241;13;1030;121;9;3;9;9;9;14;5185;8177;3344;28;151;2960;76;3652;7189;5692;42;509;3748;138
8;804;RAJASTHAN;CHURU;1;7;1053;2041172;28.24;313932.25;6.1;938;22.15;0.55;67.46;54.25;79.95;13835;236482;142243;549;1117;462;6;42;465;26;0;2667;426;598;185;6;31;236;23;0;1505;63;505;277;0;11;229;3;0;1088;402;539;170;1;23;213;22;0;1370;34;322;172;0;4;137;0;0;158;909;441;6;41;434;25;54;395;373;6;37;285;20;386;120;14;1;16;20;7;18;1843;7973;4072;26;194;3719;98;1227;7024;6396;35;470;4676;181
8;805;RAJASTHAN;JHUNJHUNUN;1;8;1061;2139658;22.91;285430.38;11.81;950;16.88;1.95;74.72;61.15;87.88;5928;214951;131642;729;993;695;2;64;508;21;0;3012;590;627;252;2;22;213;10;0;1716;89;360;443;0;42;295;11;0;1240;549;582;244;0;15;205;7;0;1602;50;230;302;0;18;228;4;0;453;838;622;2;63;427;20;70;364;527;2;58;302;19;631;303;52;0;26;48;9;13;2378;7231;5829;6;281;3949;96;1889;6123;8813;10;731;5158;160
8;806;RAJASTHAN;ALWAR;1;14;1994;3671999;17.82;580543.04;22.7;894;17.77;7.87;71.68;56.78;85.08;8380;432430;253532;1446;2072;867;20;73;780;11;0;5269;1129;1128;417;20;32;255;5;0;2986;222;939;450;0;41;525;6;0;2183;1095;1078;405;19;25;246;3;0;2871;158;683;362;0;18;411;2;0;296;1301;766;19;69;610;11;95;402;348;12;38;258;9;844;250;50;6;38;51;6;56;4580;13716;6405;96;366;6004;38;3659;12800;10635;92;786;7812;76
8;807;RAJASTHAN;BHARATPUR;1;10;1466;2549121;19.41;430801.45;21.32;877;21.87;2.12;71.16;54.63;85.7;5066;323154;183499;808;1316;617;10;38;462;16;0;3267;670;626;359;9;12;143;5;0;1824;93;686;258;1;26;319;11;0;1394;640;597;341;6;11;131;4;0;1730;72;454;139;0;7;206;4;0;153;822;515;8;36;355;15;34;307;352;8;30;195;6;459;129;20;2;15;16;8;19;2529;8719;3889;38;171;3298;80;2064;8451;7722;47;463;4886;137
8;808;RAJASTHAN;DHAULPUR;1;5;825;1207293;20.51;215622.53;22.78;845;20.36;4.86;70.14;55.45;82.53;3033;162479;93385;673;649;239;3;16;227;4;0;1811;586;325;148;3;9;89;1;0;1161;52;324;90;0;7;138;3;0;614;562;312;142;3;8;84;1;0;1112;40;214;51;0;4;78;2;0;52;341;174;3;16;160;3;42;253;125;3;13;120;3;332;24;2;0;5;7;1;3;2139;4337;1830;16;71;1668;20;1641;4380;2778;15;220;2397;33
8;809;RAJASTHAN;KARAULI;1;6;776;1458459;14.99;239478.97;20.57;858;24.31;22.28;67.34;49.18;82.96;5524;179356;105510;856;742;322;2;18;292;10;0;2242;743;408;201;2;13;86;7;0;1460;73;332;121;0;5;206;3;0;740;712;385;193;2;11;84;4;0;1391;53;257;90;0;1;140;1;0;105;328;227;1;13;196;9;36;227;151;2;11;101;7;628;39;5;0;5;9;3;2;2656;4911;2659;6;68;2292;37;1915;4202;3637;9;159;2544;71
8;810;RAJASTHAN;SAWAI MADHOPUR;1;6;769;1338114;19.9;198843.74;19.79;894;20.87;21.4;66.19;47.8;82.72;4498;149291;92901;674;676;366;5;26;274;11;0;2032;487;320;204;5;7;79;3;0;1105;70;346;159;0;19;194;8;0;796;483;306;196;5;7;74;1;0;1072;47;262;83;0;1;111;3;0;134;494;343;5;25;249;10;43;222;243;5;16;138;6;500;63;9;0;9;10;1;4;2133;4641;3057;18;125;2142;55;1742;4275;4817;24;322;2813;105
8;811;RAJASTHAN;Dausa;1;6;1003;1637226;12.38;256880.76;24.31;904;21.68;26.51;69.17;52.33;84.54;3432;191176;116892;903;911;414;5;40;343;8;0;2624;777;483;215;5;23;114;0;0;1617;94;428;199;0;17;228;8;0;974;761;467;211;4;21;114;0;0;1578;74;347;133;0;8;180;5;0;105;424;323;5;39;227;8;47;242;241;5;30;155;4;672;91;19;1;16;11;2;15;2648;6067;2726;16;175;2555;41;1990;5200;4730;25;424;3209;54
8;812;RAJASTHAN;JAIPUR;1;19;2269;6663971;52.51;914296.82;26.91;909;15.14;7.97;76.44;64.63;87.27;11143;696382;422642;2438;3268;1723;14;135;1500;35;0;9113;1792;1369;412;7;75;378;19;0;4052;530;1848;1311;7;59;1121;16;0;4892;1613;1177;360;6;35;316;15;0;3522;175;797;567;1;6;531;4;0;756;2289;1639;13;133;1328;32;422;1412;1407;10;116;985;23;1844;543;69;4;53;93;13;41;9337;25677;16053;75;617;12863;132;7080;22001;24449;70;1755;15396;258
8;813;RAJASTHAN;SIKAR;1;9;1147;2677737;23.65;375686.5;17.04;944;15.64;2.81;72.98;58.76;86.66;7732;282734;172919;880;1315;789;4;68;676;21;0;3753;745;777;260;2;31;270;14;0;2099;79;511;528;2;37;402;7;0;1566;709;742;250;1;22;257;10;0;1991;48;325;377;1;8;301;3;0;141;829;720;4;64;544;20;64;397;483;3;40;310;14;725;261;28;1;26;32;10;28;2778;9228;6872;24;322;5485;98;2061;8207;9804;22;817;6793;149
8;814;RAJASTHAN;NAGAUR;1;14;1658;3309234;19.17;498701.56;19.25;948;21.16;0.32;64.08;48.63;78.9;17718;374543;231099;1845;1756;825;14;50;523;13;0;5026;1566;1025;430;14;27;202;13;0;3277;140;692;395;0;23;318;0;0;1568;1533;995;413;8;24;187;11;0;3171;82;518;298;0;10;237;0;0;276;1067;754;14;49;451;12;125;510;536;14;42;295;9;1473;168;18;3;15;15;4;25;5088;11369;5736;49;207;3877;37;4171;11318;10086;73;551;5387;88
8;815;RAJASTHAN;JODHPUR;1;17;1739;3685681;34.3;593026.07;27.69;915;16.49;3.23;67.09;52.57;80.46;22850;451275;269211;2521;2038;641;13;71;466;22;0;5772;2195;951;343;9;50;169;8;0;3725;239;1056;298;4;21;297;14;0;1929;2127;856;304;7;42;144;5;0;3485;124;652;146;2;3;156;1;0;389;1517;613;13;70;424;20;195;807;488;10;58;334;18;1776;233;20;4;22;17;8;40;7611;15208;5418;76;296;3881;119;5976;13521;10226;69;853;5252;170
8;816;RAJASTHAN;JAISALMER;1;3;569;672008;13.28;130369.55;32.22;849;14.8;6.33;58.04;40.23;73.09;38401;98543;54685;1043;445;104;5;22;80;15;0;1714;856;305;92;5;19;55;6;0;1338;102;135;11;0;3;25;9;0;285;843;284;91;5;17;54;4;0;1298;82;97;8;0;0;14;7;0;159;285;89;3;19;64;14;41;213;62;3;14;34;8;759;38;2;1;1;5;5;4;3384;2900;622;13;75;575;65;1787;2184;1049;11;167;706;129
8;817;RAJASTHAN;BARMER;1;17;2317;2604453;7;499273.64;32.55;900;16.76;6.77;57.49;41.03;72.32;28387;375398;210279;3499;1754;430;7;35;286;9;0;6020;3198;1380;339;7;29;180;8;0;5141;107;355;90;0;6;105;1;0;664;3179;1355;337;7;29;176;8;0;5091;91;298;71;0;5;81;1;0;373;1018;395;7;32;246;8;70;275;226;5;29;130;4;2520;96;10;0;8;7;1;25;9014;10150;3452;29;189;2141;38;5283;8086;4028;33;313;2428;70
8;818;RAJASTHAN;JALOR;1;8;783;1830151;8.3;313870.9;26.31;951;19.53;9.77;55.58;38.73;71.83;10640;237489;138444;1223;1087;340;6;17;183;6;0;2862;1068;582;266;6;8;73;1;0;2004;128;502;74;0;9;110;5;0;828;1052;561;256;6;8;71;1;0;1955;111;440;56;0;3;77;2;0;168;773;329;6;17;169;6;51;337;217;4;12;115;5;721;40;5;0;4;1;3;3;3700;7062;2382;21;87;1354;23;2387;6374;3898;19;209;1952;52
8;819;RAJASTHAN;SIROHI;1;5;503;1037185;20.13;171654.12;21.86;938;19.48;28.22;56.02;40.12;71.09;5136;129979;73866;601;433;187;6;10;86;3;0;1326;473;249;159;5;8;45;2;0;941;116;183;28;1;2;41;1;0;372;462;235;148;4;6;39;2;0;896;102;149;10;0;0;26;0;0;196;400;184;6;10;84;3;45;257;151;6;9;64;3;276;35;0;0;4;3;0;1;1965;3059;1241;38;44;735;23;1443;2756;2650;29;129;1150;34
8;820;RAJASTHAN;PALI;1;10;1118;2038533;22.56;292937.19;11.99;987;19.54;7.1;63.23;48.35;78.16;12387;224607;135266;840;1366;400;19;30;242;18;0;2915;657;748;333;19;8;118;3;0;1886;145;614;67;0;22;124;15;0;987;636;684;313;16;7;112;1;0;1769;100;443;23;0;12;56;7;0;237;1161;397;11;30;233;17;96;499;275;9;27;162;15;569;141;7;8;10;5;4;10;2738;9683;3446;93;132;2116;103;2125;8993;5066;71;437;2684;174
8;821;RAJASTHAN;AJMER;1;10;1243;2584913;40.09;374812.39;18.48;950;18.51;2.46;70.46;56.42;83.93;8481;280416;165058;1083;1331;491;6;24;359;6;0;3300;758;676;336;6;9;149;0;0;1934;253;645;153;0;15;210;6;0;1282;719;587;282;6;5;126;0;0;1725;155;359;44;0;0;86;1;0;390;1189;484;6;24;351;6;139;531;453;6;22;282;5;769;110;11;0;9;15;2;6;3590;9536;3895;22;141;2949;24;2979;9178;7765;28;327;4002;42
8;822;RAJASTHAN;TONK;1;6;1155;1421711;22.36;201029.94;17.33;949;20.26;12.54;62.46;46.01;78.27;7194;153379;92521;970;1007;337;5;15;229;9;0;2572;703;539;229;5;11;69;3;0;1559;24;453;108;0;4;160;6;0;755;686;498;220;2;8;65;1;0;1480;15;315;55;0;0;92;3;0;237;772;327;5;15;214;8;23;373;254;5;14;158;6;821;132;15;0;2;9;5;9;2441;6547;2052;16;85;1786;31;2182;6896;4436;26;166;2791;58
